timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1667611938487,878,Request1,200,OK,Thread Group 1-2,text,true,,16574,234,10,10,https://www.google.com/,349,0,239
1667611938487,349,Request1-0,301,Moved Permanently,Thread Group 1-2,text,true,,703,115,10,10,https://google.com/,349,0,239
1667611938837,528,Request1-1,200,OK,Thread Group 1-2,text,true,,15871,119,10,10,https://www.google.com/,501,0,343
1667611938382,985,Request1,200,OK,Thread Group 1-1,text,true,,16541,234,10,10,https://www.google.com/,450,0,319
1667611938382,450,Request1-0,301,Moved Permanently,Thread Group 1-1,text,true,,703,115,10,10,https://google.com/,450,0,319
1667611938833,534,Request1-1,200,OK,Thread Group 1-1,text,true,,15838,119,10,10,https://www.google.com/,522,0,348
1667611938598,780,Request1,200,OK,Thread Group 1-3,text,true,,16598,234,10,10,https://www.google.com/,393,0,254
1667611938598,393,Request1-0,301,Moved Permanently,Thread Group 1-3,text,true,,703,115,10,10,https://google.com/,393,0,254
1667611938991,387,Request1-1,200,OK,Thread Group 1-3,text,true,,15895,119,10,10,https://www.google.com/,377,0,215
1667611938684,743,Request1,200,OK,Thread Group 1-4,text,true,,16502,234,10,10,https://www.google.com/,338,0,222
1667611938684,338,Request1-0,301,Moved Permanently,Thread Group 1-4,text,true,,703,115,10,10,https://google.com/,338,0,222
1667611939023,404,Request1-1,200,OK,Thread Group 1-4,text,true,,15799,119,10,10,https://www.google.com/,396,0,234
1667611938785,780,Request1,200,OK,Thread Group 1-5,text,true,,16542,234,10,10,https://www.google.com/,377,0,248
1667611938785,377,Request1-0,301,Moved Permanently,Thread Group 1-5,text,true,,703,115,10,10,https://google.com/,377,0,248
1667611939163,402,Request1-1,200,OK,Thread Group 1-5,text,true,,15839,119,10,10,https://www.google.com/,392,0,241
1667611939378,308,Request1,200,OK,Thread Group 1-3,text,true,,16605,234,10,10,https://www.google.com/,119,0,0
1667611939378,119,Request1-0,301,Moved Permanently,Thread Group 1-3,text,true,,703,115,10,10,https://google.com/,119,0,0
1667611939497,189,Request1-1,200,OK,Thread Group 1-3,text,true,,15902,119,10,10,https://www.google.com/,158,0,0
1667611939368,320,Request1,200,OK,Thread Group 1-1,text,true,,16576,234,10,10,https://www.google.com/,122,0,0
1667611939368,122,Request1-0,301,Moved Permanently,Thread Group 1-1,text,true,,703,115,10,10,https://google.com/,122,0,0
1667611939490,198,Request1-1,200,OK,Thread Group 1-1,text,true,,15873,119,10,10,https://www.google.com/,187,0,0
1667611939367,327,Request1,200,OK,Thread Group 1-2,text,true,,16586,234,10,10,https://www.google.com/,124,0,0
1667611939367,124,Request1-0,301,Moved Permanently,Thread Group 1-2,text,true,,703,115,10,10,https://google.com/,124,0,0
1667611939491,203,Request1-1,200,OK,Thread Group 1-2,text,true,,15883,119,10,10,https://www.google.com/,194,0,0
1667611938884,834,Request1,200,OK,Thread Group 1-6,text,true,,16588,234,10,10,https://www.google.com/,407,0,296
1667611938884,407,Request1-0,301,Moved Permanently,Thread Group 1-6,text,true,,703,115,10,10,https://google.com/,407,0,296
1667611939292,426,Request1-1,200,OK,Thread Group 1-6,text,true,,15885,119,10,10,https://www.google.com/,416,0,237
1667611939427,306,Request1,200,OK,Thread Group 1-4,text,true,,16566,234,10,10,https://www.google.com/,103,0,0
1667611939427,103,Request1-0,301,Moved Permanently,Thread Group 1-4,text,true,,703,115,10,10,https://google.com/,103,0,0
1667611939530,203,Request1-1,200,OK,Thread Group 1-4,text,true,,15863,119,10,10,https://www.google.com/,183,0,0
1667611938985,773,Request1,200,OK,Thread Group 1-7,text,true,,16555,234,10,10,https://www.google.com/,347,0,241
1667611938985,347,Request1-0,301,Moved Permanently,Thread Group 1-7,text,true,,703,115,10,10,https://google.com/,347,0,241
1667611939332,426,Request1-1,200,OK,Thread Group 1-7,text,true,,15852,119,10,10,https://www.google.com/,412,0,255
1667611939566,317,Request1,200,OK,Thread Group 1-5,text,true,,16530,234,10,10,https://www.google.com/,121,0,0
1667611939566,121,Request1-0,301,Moved Permanently,Thread Group 1-5,text,true,,703,115,10,10,https://google.com/,121,0,0
1667611939687,196,Request1-1,200,OK,Thread Group 1-5,text,true,,15827,119,10,10,https://www.google.com/,189,0,0
1667611939085,802,Request1,200,OK,Thread Group 1-8,text,true,,16548,234,10,10,https://www.google.com/,346,0,229
1667611939085,346,Request1-0,301,Moved Permanently,Thread Group 1-8,text,true,,703,115,10,10,https://google.com/,346,0,229
1667611939432,455,Request1-1,200,OK,Thread Group 1-8,text,true,,15845,119,10,10,https://www.google.com/,445,0,262
1667611939184,719,Request1,200,OK,Thread Group 1-9,text,true,,16509,234,10,10,https://www.google.com/,339,0,217
1667611939184,339,Request1-0,301,Moved Permanently,Thread Group 1-9,text,true,,703,115,10,10,https://google.com/,339,0,217
1667611939524,379,Request1-1,200,OK,Thread Group 1-9,text,true,,15806,119,10,10,https://www.google.com/,374,0,209
1667611939694,302,Request1,200,OK,Thread Group 1-2,text,true,,16574,234,10,10,https://www.google.com/,109,0,0
1667611939694,109,Request1-0,301,Moved Permanently,Thread Group 1-2,text,true,,703,115,10,10,https://google.com/,109,0,0
1667611939803,193,Request1-1,200,OK,Thread Group 1-2,text,true,,15871,119,10,10,https://www.google.com/,159,0,0
1667611939686,311,Request1,200,OK,Thread Group 1-3,text,true,,16596,234,10,10,https://www.google.com/,108,0,0
1667611939686,108,Request1-0,301,Moved Permanently,Thread Group 1-3,text,true,,703,115,10,10,https://google.com/,108,0,0
1667611939794,203,Request1-1,200,OK,Thread Group 1-3,text,true,,15893,119,10,10,https://www.google.com/,174,0,0
1667611939688,311,Request1,200,OK,Thread Group 1-1,text,true,,16490,234,10,10,https://www.google.com/,116,0,0
1667611939688,116,Request1-0,301,Moved Permanently,Thread Group 1-1,text,true,,703,115,10,10,https://google.com/,116,0,0
1667611939804,195,Request1-1,200,OK,Thread Group 1-1,text,true,,15787,119,10,10,https://www.google.com/,173,0,0
1667611939718,318,Request1,200,OK,Thread Group 1-6,text,true,,16549,234,10,10,https://www.google.com/,135,0,0
1667611939718,135,Request1-0,301,Moved Permanently,Thread Group 1-6,text,true,,703,115,10,10,https://google.com/,135,0,0
1667611939853,183,Request1-1,200,OK,Thread Group 1-6,text,true,,15846,119,10,10,https://www.google.com/,159,0,0
1667611939285,795,Request1,200,OK,Thread Group 1-10,text,true,,16536,234,10,10,https://www.google.com/,361,0,238
1667611939285,361,Request1-0,301,Moved Permanently,Thread Group 1-10,text,true,,703,115,10,10,https://google.com/,361,0,238
1667611939647,433,Request1-1,200,OK,Thread Group 1-10,text,true,,15833,119,10,10,https://www.google.com/,402,0,230
1667611939733,351,Request1,200,OK,Thread Group 1-4,text,true,,16593,234,10,10,https://www.google.com/,120,0,0
1667611939733,120,Request1-0,301,Moved Permanently,Thread Group 1-4,text,true,,703,115,10,10,https://google.com/,120,0,0
1667611939853,231,Request1-1,200,OK,Thread Group 1-4,text,true,,15890,119,10,10,https://www.google.com/,192,0,0
1667611939758,332,Request1,200,OK,Thread Group 1-7,text,true,,16521,234,10,10,https://www.google.com/,129,0,0
1667611939758,129,Request1-0,301,Moved Permanently,Thread Group 1-7,text,true,,703,115,10,10,https://google.com/,129,0,0
1667611939887,203,Request1-1,200,OK,Thread Group 1-7,text,true,,15818,119,10,10,https://www.google.com/,186,0,0
1667611939883,290,Request1,200,OK,Thread Group 1-5,text,true,,16563,234,10,10,https://www.google.com/,117,0,0
1667611939883,117,Request1-0,301,Moved Permanently,Thread Group 1-5,text,true,,703,115,10,10,https://google.com/,117,0,0
1667611940001,172,Request1-1,200,OK,Thread Group 1-5,text,true,,15860,119,10,10,https://www.google.com/,154,0,0
1667611939887,295,Request1,200,OK,Thread Group 1-8,text,true,,16501,234,10,10,https://www.google.com/,119,0,0
1667611939887,119,Request1-0,301,Moved Permanently,Thread Group 1-8,text,true,,703,115,10,10,https://google.com/,119,0,0
